Date,price,high,low,upper_bound,lower_bound,position,market_return,trades,strategy_return,equity
2025-09-19,51.157840728759766,51.311839614095554,50.24874246545959,50.85480764332218,44.555706061864484,0.0,0.0,0.0,0.0,10000.0
2025-09-22,52.0222282409668,52.20106737103065,50.87964533112426,51.311839614095554,45.82247980759491,1.0,0.016896481553825504,1.0,0.015396481553825505,10153.964815538255
2025-09-23,50.97403335571289,52.11164745139907,50.66106677527516,52.20106737103065,45.82247980759491,1.0,-0.02014898093942974,0.0,-0.02014898093942974,9949.372772010334
2025-09-24,50.426063537597656,51.395698351316945,49.71996650549986,52.20106737103065,46.170222552940984,1.0,-0.010749979588456915,0.0,-0.010749979588456915,9842.417217793274
2025-09-25,49.74980545043945,50.157549818681204,48.48181792566797,52.20106737103065,46.90048153708345,1.0,-0.013410883969834031,0.0,-0.013410883969834031,9710.421702502752
2025-09-26,50.346500396728516,50.41114145125475,49.09840337403699,52.20106737103065,47.44693536370517,1.0,0.011993915169848934,0.0,0.011993915169848934,9826.887676666029
2025-09-29,51.01778793334961,51.853167081225905,50.68960530045813,52.20106737103065,47.44693536370517,1.0,0.013333350507609643,0.0,0.013333350507609643,9957.913014457927
2025-09-30,51.415592193603516,51.50012368682563,50.33158827659393,52.20106737103065,47.44693536370517,1.0,0.0077973639463475575,0.0,0.0077973639463475575,10035.558486377728
2025-10-01,52.14157485961914,52.280804091226344,50.37136812567837,52.20106737103065,47.44693536370517,1.0,0.014119893111061765,0.0,0.014119893111061765,10177.25949951519
2025-10-02,52.77804946899414,53.126122521329904,52.04212250299517,52.280804091226344,48.48181792566797,1.0,0.012206662554565817,0.0,0.012206662554565817,10301.489871956022
2025-10-03,52.062007904052734,53.14104192810201,51.594596072542224,53.126122521329904,48.48181792566797,1.0,-0.013567033494901404,0.0,-0.013567033494901404,10161.729213815806
2025-10-06,53.2255744934082,53.643262154788836,52.773075733200784,53.14104192810201,48.48181792566797,1.0,0.022349629532150583,0.0,0.022349629532150583,10388.840097150622
2025-10-07,52.365333557128906,53.73276941906577,51.972506072454344,53.643262154788836,48.48181792566797,1.0,-0.016162172873978697,0.0,-0.016162172873978697,10220.933867540352
2025-10-08,54.14051055908203,54.22504583601357,52.539370759044544,53.73276941906577,48.48181792566797,1.0,0.03389985093891301,0.0,0.03389985093891301,10567.422002106458
2025-10-09,53.926692962646484,54.18029120501361,53.086344102338856,54.22504583601357,48.48181792566797,1.0,-0.003949308830440645,0.0,-0.003949308830440645,10525.687989078544
2025-10-10,48.268001556396484,54.52837379291108,48.14866275657801,54.22504583601357,49.09840337403699,1.0,-0.10493303214735639,0.0,-0.10493303214735639,9421.195632947523
2025-10-13,51.331058502197266,51.554819220252874,50.14760247291915,54.52837379291108,48.14866275657801,0.0,0.06345936950014175,1.0,-0.0015,9407.063839498102
2025-10-14,50.28683090209961,51.48023023142249,48.26799953418873,54.52837379291108,48.14866275657801,0.0,-0.02034299760354552,0.0,-0.0,9407.063839498102
2025-10-15,51.316139221191406,52.46478797442666,49.74483300851259,54.52837379291108,48.14866275657801,0.0,0.020468745009915024,0.0,0.0,9407.063839498102
2025-10-16,50.744300842285156,52.87252758570918,49.60062574864133,54.52837379291108,48.14866275657801,0.0,-0.01114344117825028,0.0,-0.0,9407.063839498102
2025-10-17,51.708961486816406,52.09681539264361,49.78460883194886,54.52837379291108,48.14866275657801,0.0,0.01901022634107119,0.0,0.0,9407.063839498102
2025-10-20,53.64823913574219,53.961504901776394,52.484677324433456,54.52837379291108,48.14866275657801,0.0,0.03750370522177704,0.0,0.0,9407.063839498102
2025-10-21,53.588565826416016,53.94161623662698,53.04159224865273,54.52837379291108,48.14866275657801,0.0,-0.0011123069514953343,0.0,-0.0,9407.063839498102
2025-10-22,52.01228713989258,53.57364997216727,50.51059560210978,54.52837379291108,48.14866275657801,0.0,-0.029414459264114567,0.0,-0.0,9407.063839498102
2025-10-23,53.31507873535156,53.51894900691012,51.7537159972234,54.52837379291108,48.14866275657801,0.0,0.02504776596258851,0.0,0.0,9407.063839498102
2025-10-24,54.97589111328125,55.32396796104492,54.4637248507284,54.52837379291108,48.14866275657801,0.0,0.031150894218382907,0.0,0.0,9407.063839498102
2025-10-27,57.894744873046875,58.024030772763915,56.820684402249896,55.32396796104492,48.26799953418873,1.0,0.05309334147492306,1.0,0.05159334147492306,9892.405696445727
2025-10-28,59.217430114746094,59.70970975961501,58.208014424573754,58.024030772763915,48.26799953418873,1.0,0.022846378278367663,0.0,0.022846378278367663,10118.411339069806
2025-10-29,59.97324752807617,60.3511581159823,58.44669209588086,59.70970975961501,49.60062574864133,1.0,0.012763428130290855,0.0,0.012763428130290855,10247.556954988744
2025-10-30,57.22842788696289,59.34173769892539,57.19859413889937,60.3511581159823,49.60062574864133,1.0,-0.0457674005368528,0.0,-0.0457674005368528,9778.552911305562
2025-10-31,58.03894805908203,59.41632716814125,57.37263191923579,60.3511581159823,49.78460883194886,1.0,0.014162894247594426,0.0,0.014162894247594426,9917.04552208289
2025-11-03,58.83454895019531,59.8787719331203,58.21796075545009,60.3511581159823,50.51059560210978,1.0,0.0137080515364163,0.0,0.0137080515364163,10052.988893188589
2025-11-04,55.23446273803711,57.387553491103326,55.01567179408788,60.3511581159823,50.51059560210978,1.0,-0.06119000275171227,0.0,-0.06119000275171227,9437.846475151446
2025-11-05,56.30852127075195,57.18368128129634,54.66760051890709,60.3511581159823,50.51059560210978,1.0,0.019445441839614386,0.0,0.019445441839614386,9621.369569875213
2025-11-06,53.15098571777344,55.9405550322099,52.76810536589723,60.3511581159823,51.7537159972234,1.0,-0.056075625530919715,0.0,-0.056075625530919715,9081.845252780306
2025-11-07,52.59904098510742,52.628874735153715,49.70504962554913,60.3511581159823,52.76810536589723,1.0,-0.010384468419772808,0.0,-0.010384468419772808,8987.535117559544
2025-11-10,56.044979095458984,56.31349422515548,54.404058361151755,60.3511581159823,49.70504962554913,0.0,0.06551332582902458,1.0,-0.0015,8974.053814883206
2025-11-11,55.58253479003906,55.900774088028086,54.49853099572903,60.3511581159823,49.70504962554913,0.0,-0.00825130659130513,0.0,-0.0,8974.053814883206
2025-11-12,55.468170166015625,56.45769537549823,54.563176441113924,60.3511581159823,49.70504962554913,0.0,-0.002057564025380376,0.0,-0.0,8974.053814883206
2025-11-13,52.0421257019043,54.63776446682407,51.4155903754765,60.3511581159823,49.70504962554913,0.0,-0.061765954309601634,0.0,-0.0,8974.053814883206
2025-11-14,52.08190155029297,53.25043689179358,49.11332199927751,60.3511581159823,49.70504962554913,0.0,0.0007643009937086109,0.0,0.0,8974.053814883206
2025-11-17,50.744300842285156,53.02170012376378,49.779635829276216,60.3511581159823,49.11332199927751,0.0,-0.02568263961553241,0.0,-0.0,8974.053814883206
2025-11-18,48.909454345703125,50.39125552587843,47.636497016095554,60.3511581159823,49.11332199927751,0.0,-0.036158671340941084,0.0,-0.0,8974.053814883206
2025-11-19,49.74980545043945,51.29127787702599,48.44701061839289,60.3511581159823,47.636497016095554,0.0,0.017181772235620008,0.0,0.0,8974.053814883206
2025-11-20,46.19446563720703,53.24546161217002,45.975674707971514,60.3511581159823,47.636497016095554,0.0,-0.07146439631355417,0.0,-0.0,8974.053814883206
2025-11-21,47.21879959106445,48.82988648322752,44.991124544023705,60.3511581159823,45.975674707971514,0.0,0.022174386903880183,0.0,0.0,8974.053814883206
2025-11-24,50.79899978637695,51.16696327478754,48.40225407126166,60.3511581159823,44.991124544023705,0.0,0.0758214996213078,0.0,0.0,8974.053814883206
2025-11-25,51.723880767822266,52.07195762303359,48.810002782540664,60.3511581159823,44.991124544023705,0.0,0.018206677008103966,0.0,0.0,8974.053814883206
2025-11-26,53.07639694213867,53.5637029962724,52.081898197443564,60.3511581159823,44.991124544023705,0.0,0.026148776043846578,0.0,0.0,8974.053814883206
2025-11-28,54.23996353149414,54.30957814151884,53.33496980746129,59.8787719331203,44.991124544023705,0.0,0.02192248638550076,0.0,0.0,8974.053814883206
2025-12-01,53.752662658691406,54.3493642513009,52.52942951535326,59.8787719331203,44.991124544023705,0.0,-0.008984166674813276,0.0,-0.0,8974.053814883206
2025-12-02,54.995784759521484,55.4532533126545,53.84216626387058,59.8787719331203,44.991124544023705,0.0,0.02312670739165834,0.0,0.0,8974.053814883206
2025-12-03,55.38364028930664,55.572597501165625,53.93167286048415,57.387553491103326,44.991124544023705,0.0,0.007052459229032193,0.0,0.0,8974.053814883206
2025-12-04,55.20462417602539,55.741654413780466,54.30957757347861,57.18368128129634,44.991124544023705,0.0,-0.0032322922860636982,0.0,-0.0,8974.053814883206
2025-12-05,55.84110641479492,56.76599055719655,55.37369078759729,56.45769537549823,44.991124544023705,0.0,0.011529509497973267,0.0,0.0,8974.053814883206
2025-12-08,55.4930305480957,56.726210690814156,54.816771081719736,56.76599055719655,44.991124544023705,0.0,-0.006233326827618124,0.0,-0.0,8974.053814883206
2025-12-09,55.70187759399414,55.91072523074634,54.78694049474432,56.76599055719655,48.40225407126166,0.0,0.0037634824379870757,0.0,0.0,8974.053814883206
2025-12-10,56.338356018066406,56.77593410476191,54.588036083861056,56.76599055719655,48.810002782540664,0.0,0.011426516511911844,0.0,0.0,8974.053814883206
2025-12-11,55.80133056640625,55.851054749705746,53.68304697318225,56.77593410476191,52.081898197443564,0.0,-0.009532146296351685,0.0,-0.0,8974.053814883206
2025-12-12,52.52942657470703,55.21457410685249,51.942672128029734,56.77593410476191,52.52942951535326,0.0,-0.05863487408791257,0.0,-0.0,8974.053814883206
2025-12-15,51.733829498291016,53.76260801831308,51.43548060857294,56.77593410476191,51.942672128029734,0.0,-0.015145740745609038,0.0,-0.0,8974.053814883206
2025-12-16,52.0421257019043,52.47970382226785,50.81888880002223,56.77593410476191,51.43548060857294,0.0,0.005959276678396019,0.0,0.0,8974.053814883206
2025-12-17,49.128238677978516,52.50953207676532,49.098401136416285,56.77593410476191,50.81888880002223,0.0,-0.05599093012872758,0.0,-0.0,8974.053814883206
2025-12-18,51.22663116455078,52.17140577676034,50.69954801818319,56.77593410476191,49.098401136416285,0.0,0.042712552760676425,0.0,0.0,8974.053814883206
2025-12-19,53.2255744934082,53.34491328327242,51.90288931161273,56.77593410476191,49.098401136416285,0.0,0.039021565217443044,0.0,0.0,8974.053814883206
2025-12-22,53.95155715942383,54.58803575209874,53.58359368435458,56.77593410476191,49.098401136416285,0.0,0.013639733773198381,0.0,0.0,8974.053814883206
2025-12-23,54.707374572753906,54.767045863495,53.563703286387096,56.77593410476191,49.098401136416285,0.0,0.014009186261235707,0.0,0.0,8974.053814883206
2025-12-24,55.14166259765625,55.231307792616946,54.56394827465351,56.77593410476191,49.098401136416285,0.0,0.007938381768344493,0.0,0.0,8974.053814883206
