Date,price,high,low,upper_bound,lower_bound,position,market_return,trades,strategy_return,equity
2025-09-17,30.461149215698242,31.2409233489337,29.15153024281344,30.641096324096765,23.973034493994387,0.0,0.0,0.0,0.0,10000.0
2025-09-18,33.63022994995117,34.13008474424554,32.42058226302025,31.2409233489337,23.973034493994387,0.0,0.10403680806040416,0.0,0.0,10000.0
2025-09-19,33.01041030883789,33.59023987373328,32.110670174495844,34.13008474424554,25.592564476563957,1.0,-0.01843043125294419,1.0,-0.019930431252944192,9800.695687470557
2025-09-22,34.41999816894531,34.739904901802845,33.18035671893057,34.13008474424554,26.562282355415753,1.0,0.042701312916732626,0.0,0.042701312916732626,10219.19826082291
2025-09-23,34.29999923706055,35.29999923706055,33.66999816894531,34.739904901802845,26.562282355415753,1.0,-0.0034863143018127873,0.0,-0.0034863143018127873,10183.570923773144
2025-09-24,34.20000076293945,34.38999938964844,32.810001373291016,35.29999923706055,28.061847123430127,1.0,-0.002915407473626064,0.0,-0.002915407473626064,10153.881664993776
2025-09-25,33.849998474121094,34.060001373291016,31.360000610351562,35.29999923706055,28.781638461986578,1.0,-0.010233984824866926,0.0,-0.010233984824866926,10049.966994120736
2025-09-26,34.02000045776367,34.22999954223633,32.83000183105469,35.29999923706055,28.781638461986578,1.0,0.005022215400468877,0.0,0.005022215400468877,10100.440093132813
2025-09-29,34.02000045776367,35.4900016784668,33.9900016784668,35.29999923706055,28.91160096738507,1.0,0.0,0.0,0.0,10100.440093132813
2025-09-30,34.84000015258789,34.959999084472656,33.56999969482422,35.4900016784668,29.15153024281344,1.0,0.024103459253101978,0.0,0.024103459253101978,10343.895639356035
2025-10-01,36.86000061035156,36.97999954223633,33.97999954223633,35.4900016784668,29.15153024281344,1.0,0.05797934698383256,0.0,0.05797934698383256,10943.627953794812
2025-10-02,39.08000183105469,39.31999969482422,38.13999938964844,36.97999954223633,31.360000610351562,1.0,0.0602279214308985,0.0,0.0602279214308985,11602.73991836495
2025-10-03,38.22999954223633,40.060001373291016,37.619998931884766,39.31999969482422,31.360000610351562,1.0,-0.02175031343378575,0.0,-0.02175031343378575,11350.376688449815
2025-10-06,41.709999084472656,43.369998931884766,41.65999984741211,40.060001373291016,31.360000610351562,1.0,0.09102797760673886,0.0,0.09102797760673886,12383.578523474074
2025-10-07,38.83000183105469,43.02000045776367,38.70000076293945,43.369998931884766,31.360000610351562,1.0,-0.06904812554863138,0.0,-0.06904812554863138,11528.5156388439
2025-10-08,42.779998779296875,42.939998626708984,38.68000030517578,43.369998931884766,31.360000610351562,1.0,0.10172538660771169,0.0,0.10172538660771169,12701.258349218348
2025-10-09,42.2400016784668,42.84000015258789,41.0099983215332,43.369998931884766,31.360000610351562,1.0,-0.012622653488513103,0.0,-0.012622653488513103,12540.93476620808
2025-10-10,34.209999084472656,42.84000015258789,34.16999816894531,43.369998931884766,32.83000183105469,1.0,-0.19010422052344977,0.0,-0.19010422052344977,10156.85013784266
2025-10-13,39.13999938964844,39.470001220703125,37.369998931884766,43.369998931884766,33.56999969482422,0.0,0.1441099221605482,1.0,-0.0015,10141.614862635897
2025-10-14,36.630001068115234,39.0099983215332,35.95000076293945,43.369998931884766,33.56999969482422,0.0,-0.06412872663960834,0.0,-0.0,10141.614862635897
2025-10-15,39.97999954223633,40.16999816894531,37.709999084472656,43.369998931884766,33.97999954223633,0.0,0.09145504713176544,0.0,0.0,10141.614862635897
2025-10-16,40.56999969482422,41.93000030517578,39.279998779296875,43.369998931884766,34.16999816894531,0.0,0.014757382674919661,0.0,0.0,10141.614862635897
2025-10-17,40.290000915527344,40.79999923706055,38.31999969482422,43.369998931884766,34.16999816894531,0.0,-0.0069016214297037415,0.0,-0.0,10141.614862635897
2025-10-20,42.2400016784668,43.040000915527344,41.130001068115234,43.369998931884766,34.16999816894531,0.0,0.0483991243144386,0.0,0.0,10141.614862635897
2025-10-21,41.5099983215332,42.029998779296875,40.52000045776367,43.369998931884766,34.16999816894531,0.0,-0.017282275755820753,0.0,-0.0,10141.614862635897
2025-10-22,38.38999938964844,40.810001373291016,35.970001220703125,43.369998931884766,34.16999816894531,0.0,-0.07516258872663639,0.0,-0.0,10141.614862635897
2025-10-23,41.16999816894531,41.470001220703125,37.54999923706055,43.369998931884766,34.16999816894531,0.0,0.07241466067974156,0.0,0.0,10141.614862635897
2025-10-24,43.13999938964844,44.15999984741211,42.959999084472656,43.369998931884766,34.16999816894531,0.0,0.047850408266209454,0.0,0.0,10141.614862635897
2025-10-27,46.84000015258789,47.15999984741211,45.13999938964844,44.15999984741211,35.95000076293945,0.0,0.08576728825423396,0.0,0.0,10141.614862635897
2025-10-28,46.959999084472656,47.61000061035156,45.939998626708984,47.15999984741211,35.95000076293945,1.0,0.002561890083131013,1.0,0.0010618900831310132,10152.384142885465
